|Role              |  Goal                                             | Benefit                             | priority    |
|------------------|---------------------------------------------------|-------------------------------------|-------------|
|User              |I can log in                                       |to access personal account           |Must         |
|User              |I can log out                                      |to end my session safely             |Must         |
|Depot employee    |add and edit a new member                          |correctly registered and updated     |Must         |
|Depot employee    |add edit delete a child to a member                |so that families are linked          |Must         |
|Depot employee    |I can allow a member to self register              |registration is easier               |Should       |
|Depot employee    |I can add a new bike                               |inventory is always up to date       |Must         |
|Depot employee    |I can view a list of all bikes                     |for a complete overview of all bikes |Must         |
|Depot employee    |I can edit a bike's details                        |information stays accurate           |Should       |
|Depot employee    |I can archive(delete) a bike                       |old/unavailable bikes no longer show |Should       |
|Depot employee    |I can change the status of a bike                  |clear availability                   |Must         |
|Depot employee    |I can register a bike rental for a (child member)  |to track and manage rentals properly |Must         |
|Financial employee|I can register a payment                           |to keep financial records up to date |Must         |
|------------------|---------------------------------------------------|-------------------------------------|-------------|
